type,subtype,class,symbol,established
T-cell,naive,marker,Cd8b1,0
T-cell,naive,chemokine,Cxcr4,1
T-cell,naive,chemokine,Ccr7,1
T-cell,naive,TF,Lef1,1
T-cell,naive,TF,Tcf7,1
T-cell,naive,TF,Zbtb7a,0
CD4,cytotoxic,marker,Cd4,1
CD4,cytotoxic,marker,Cd8b1,0
CD4,cytotoxic,chemokine,Cx3cr1,0
CD4,cytotoxic,TF,Eomes,1
CD4,cytotoxic,TF,Tbx21,0
CD4,cytotoxic,TF,Zbtb7a,0
CD4,cytotoxic,TF,Zbtb7b,0
CD4,cytotoxic,marker,Gzma,0
CD4,cytotoxic,marker,Gzmb,0
CD4,cytotoxic,marker,Prf1,0
CD4,Th1,marker,Cd4,1
CD4,Th1,chemokine,Cxcr3,1
CD4,Th1,chemokine,Cxcr6,0
CD4,Th1,chemokine,Ccr5,1
CD4,Th1,TF,Tbx21,1
CD4,Th1,TF,Runx3,0
CD4,Th1,TF,Zbtb7a,0
CD4,Th1,TF,Stat1,0
CD4,Th1,TF,Stat4,0
CD4,Th1,TF,Runx1,0
CD4,Th1,marker,Ifng,0
CD4,Th2,marker,Cd4,1
CD4,Th2,chemokine,Ccr3,1
CD4,Th2,chemokine,Ccr4,1
CD4,Th2,chemokine,Ccr8,1
CD4,Th2,TF,Gata3,1
CD4,Th2,TF,Maf,0
CD4,Th2,TF,Zbtb7a,0
CD4,Th2,TF,Stat6,0
CD4,Th2,marker,Il4,0
CD4,Th17,marker,Cd4,1
CD4,Th17,chemokine,Ccr6,1
CD4,Th17,TF,Rorc,1
CD4,Th17,TF,Stat3,0
CD4,Th17,TF,Zbtb7a,0
CD4,Th17,TF,Ahr,0
CD4,Th17,TF,Hif1a,0
CD4,Th17,TF,Rora,0
CD4,Th17,marker,Il17a,0
CD4,Th17,marker,Il17f,0
CD4,Th17,marker,Il12rb1,0
CD4,Treg,marker,Cd4,1
CD4,Treg,chemokine,Ccr4,1
CD4,Treg,chemokine,Ccr5,1
CD4,Treg,chemokine,Ccr6,1
CD4,Treg,chemokine,Ccr8,1
CD4,Treg,TF,Foxp3,1
CD4,Treg,TF,Maf,0
CD4,Treg,TF,Zbtb7a,0
CD4,Treg,TF,Stat5a,0
CD4,Treg,TF,Stat5b,0
CD4,Treg,marker,Il2ra,0
CD4,Treg,marker,Il10,0
CD4,Tfh,marker,Cd4,1
CD4,Tfh,chemokine,Cxcr5,1
CD4,Tfh,TF,Zbtb27,1
CD4,Tfh,TF,Tcf7,0
CD4,Tfh,TF,Zbtb7a,0
CD4,Tfh,TF,Maf,0
CD4,Tfh,TF,Stat3,0
CD4,Tfh,TF,Batf,0
CD4,Tfh,marker,Pdcd1,0
CD4,Tfh,marker,Icos,0
CD8,activated,marker,Cd8a,1
CD8,activated,marker,Cd8b1,1
CD8,activated,chemokine,Cxcr3,1
CD8,activated,chemokine,Ccr5,1
CD8,activated,chemokine,Cxcr6,1
CD8,activated,chemokine,Cxcr4,0
CD8,activated,TF,Runx3,1
CD8,activated,TF,Prdm1,1
CD8,activated,TF,Zbtb7a,0
CD8,activated,TF,Batf,0
CD8,activated,TF,Id2,0
CD8,activated,TF,Prdm1,0
CD8,activated,TF,Id3,0
CD8,activated,TF,Runx1,0
CD8,activated,marker,Ifng,0
CD8,activated,marker,Gzma,0
CD8,activated,marker,Gzmb,0
CD8,activated,marker,Prf1,0
CD8,activated,marker,Tnf,0
CD8,exhausted,marker,Cd8a,1
CD8,exhausted,marker,Pdcd1,0
CD8,exhausted,marker,Cd244,0
CD8,exhausted,marker,Havcr2,0
CD8,exhausted,marker,Ctla4,0
CD8,exhausted,marker,Cd160,0
CD8,exhausted,marker,Lag3,0
CD8,exhausted,marker,Il10ra,0
CD8,exhausted,marker,Tigit,0
CD8,exhausted,marker,Btla,0
CD8,exhausted,marker,Cd96,0
CD8,memory,marker,Cd8a,1
CD8,memory,chemokine,Ccr7,1
CD8,memory,chemokine,Ccr1,0
CD8,memory,TF,Id3,1
CD8,memory,TF,Bcl6,0
CD8,memory,TF,Zbtb7a,0
CD8,memory,marker,Sell,0
CD8,memory,marker,Il7r,0
T-cell,NKT,chemokine,Cxcr6,1
T-cell,NKT,TF,Zbtb16,1
T-cell,MAIT,chemokine,Cxcr6,1
T-cell,MAIT,TF,Rorc,0